id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1
6079,2024-06-23,4925,,1
4690,2024-06-23,2846,,5
6892,2024-06-23,675,,1
4933,2024-06-23,2206,,1
1876,2024-06-23,7182,,1
3319,2024-06-23,8122,,3
2826,2024-06-23,675,,1
5226,2024-06-23,497,,1
2395,2024-06-23,6333,,3
4246,2024-06-23,4203,,1
1982,2024-06-23,8204,,5
8609,2024-06-23,8869,,1
601,2024-06-23,1742,,1
6364,2024-06-23,3445,,5
4662,2024-06-23,560,560,4
6156,2024-06-23,5721,,1
4229,2024-06-23,745,,1
1291,2024-06-23,1540,,1
2725,2024-06-23,9924,,3
2230,2024-06-23,4901,,5
7662,2024-06-23,5913,,1
6748,2024-06-23,820,,5
6756,2024-06-23,4203,,1
217,2024-06-23,9955,,3
8222,2024-06-23,8031,,3
6881,2024-06-23,4722,,1
9786,2024-06-23,8228,,1
9676,2024-06-23,676,,1
5315,2024-06-23,2885,,5
4720,2024-06-23,560,560,3
9800,2024-06-23,5851,,1
1898,2024-06-23,9936,,5
2599,2024-06-23,222,,3
8162,2024-06-23,1485,,1
7137,2024-06-23,7392,,1
6205,2024-06-23,7573,,1
6034,2024-06-23,1485,,1
1311,2024-06-23,4593,,1
8044,2024-06-23,11011,,1
2276,2024-06-23,11243,,5
9295,2024-06-23,11709,,1
7154,2024-06-23,9651,,1
4712,2024-06-23,11310,,1
7839,2024-06-23,11412,,3
6422,2024-06-23,10161,,5
4446,2024-06-23,907,,1
4168,2024-06-23,9382,,1
1764,2024-06-23,4203,,1
6938,2024-06-23,7230,,5
7237,2024-06-23,11339,,3
7221,2024-06-23,4910,,5
8833,2024-06-23,3976,,3
7825,2024-06-23,1130,,5
7722,2024-06-23,4569,,1
8518,2024-06-23,1809,,1
3107,2024-06-23,3399,,5
3940,2024-06-23,7573,,1
9633,2024-06-23,1044,,3
3986,2024-06-23,2092,1084,2
7044,2024-06-23,745,,1
6423,2024-06-23,4815,,5
3011,2024-06-23,9668,,5
4150,2024-06-23,3522,,3
3129,2024-06-23,684,,3
5349,2024-06-23,4722,,3
505,2024-06-23,11451,,1
2742,2024-06-23,5444,,3
4710,2024-06-23,3870,,1
2061,2024-06-23,11765,,3
4705,2024-06-23,1698,,5
9883,2024-06-23,9746,,3
8716,2024-06-23,5985,,3
9991,2024-06-23,6290,,2
3521,2024-06-23,9402,,1
7356,2024-06-23,8122,,1
9071,2024-06-23,5946,,5
5496,2024-06-23,5689,,5
55,2024-06-23,2102,,3
3462,2024-06-23,560,,5
4435,2024-06-23,1412,,5
2936,2024-06-23,8810,,3
7950,2024-06-23,72,,5
3469,2024-06-23,7709,,1
2296,2024-06-23,7820,,1
7145,2024-06-23,2442,,5
1203,2024-06-23,5834,,1
437,2024-06-23,11697,144,3
3866,2024-06-23,8095,,3
4638,2024-06-23,4847,,1
3588,2024-06-23,4761,,3
245,2024-06-23,1657,,1
6896,2024-06-23,8122,,1
7005,2024-06-23,280,,5
9312,2024-06-23,8373,,3
3698,2024-06-23,3930,,1
4008,2024-06-23,10464,,5
7735,2024-06-23,675,,1
4942,2024-06-23,8719,,3
3618,2024-06-23,2173,,3
6989,2024-06-23,8512,,1
322,2024-06-23,6059,,5
2295,2024-06-23,11697,,5
410,2024-06-23,2946,,3
1442,2024-06-23,5033,,3
4325,2024-06-23,534,,3
5024,2024-06-23,5985,,1
8164,2024-06-23,4447,,5
1807,2024-06-23,72,,5
9553,2024-06-23,6018,,5
9132,2024-06-23,6468,8487,1
5068,2024-06-23,1130,,1
3671,2024-06-23,8492,,5
3553,2024-06-23,11087,,5
4877,2024-06-23,10676,,5
7040,2024-06-23,2946,,1
6368,2024-06-23,9817,,3
1839,2024-06-23,7573,,1
8428,2024-06-23,8563,,3
1414,2024-06-23,9817,,5
4702,2024-06-23,4602,,5
8958,2024-06-23,3810,,5
4809,2024-06-23,4925,,1
3743,2024-06-23,6621,,1
801,2024-06-23,3737,,5
9848,2024-06-23,8262,,3
4023,2024-06-23,2924,,1
9757,2024-06-23,6473,,5
635,2024-06-23,5878,,5
3284,2024-06-23,8737,,5
9669,2024-06-23,6880,,5
7203,2024-06-23,11665,,5
9288,2024-06-23,10906,,5
9894,2024-06-23,8155,,5
7868,2024-06-23,3507,,3
1100,2024-06-23,8485,,5
2715,2024-06-23,8373,,1
6163,2024-06-23,10676,,5
3723,2024-06-23,2442,,4
7647,2024-06-23,8308,,5
6670,2024-06-23,10856,,3
7615,2024-06-23,10516,,3
7461,2024-06-23,8443,,3
883,2024-06-23,4346,,1
9530,2024-06-23,9036,,3
8559,2024-06-23,9355,,5
7183,2024-06-23,4902,,3
747,2024-06-23,11573,,3
5614,2024-06-23,2490,,5
7591,2024-06-23,2588,,5
6425,2024-06-23,9861,,3
7287,2024-06-23,6365,,1
3040,2024-06-23,3567,,5
8478,2024-06-23,10278,,1
4545,2024-06-23,4237,,3
8587,2024-06-23,5297,,2
4501,2024-06-23,4132,5184,1
7283,2024-06-23,6952,,1
1097,2024-06-23,10275,,1
8771,2024-06-23,7326,,5
3067,2024-06-23,11084,,1
1913,2024-06-23,2966,,1
6493,2024-06-23,3239,,5
2583,2024-06-23,10208,,1
5107,2024-06-23,3390,,3
5072,2024-06-23,6109,,3
3144,2024-06-23,11331,,5
1385,2024-06-23,7067,,3
654,2024-06-23,9688,,1
5848,2024-06-23,4962,,3
1483,2024-06-23,6742,,3
9347,2024-06-23,4602,,5
3202,2024-06-23,9643,,1
8483,2024-06-23,4190,,3
9383,2024-06-23,9884,,5
1394,2024-06-23,849,,5
7446,2024-06-23,11549,,1
4558,2024-06-23,3715,,1
6191,2024-06-23,8582,,1
7434,2024-06-23,11814,,1
160,2024-06-23,10083,,1
4572,2024-06-23,3788,,3
9674,2024-06-23,2065,,3
5535,2024-06-23,20,,1
1513,2024-06-23,3930,,1
7172,2024-06-23,9221,,5
7505,2024-06-23,9319,,5
5418,2024-06-23,1028,,5
8454,2024-06-23,8969,,1
5678,2024-06-23,7650,,3
7519,2024-06-23,1028,,5
8441,2024-06-23,11186,,5
7475,2024-06-23,9482,,1
1522,2024-06-23,11841,,3
3892,2024-06-23,8119,,3
452,2024-06-23,7618,,5
8049,2024-06-23,9414,,3
9066,2024-06-23,144,,5
1816,2024-06-23,4880,,1
8377,2024-06-23,1009,,5
2838,2024-06-23,9402,,3
8649,2024-06-23,4942,,5
5946,2024-06-23,1341,,3
141,2024-06-23,11735,,1
5159,2024-06-23,4942,,5
3299,2024-06-23,6507,,3
2035,2024-06-23,7416,,5
1374,2024-06-23,10543,,3
7530,2024-06-23,144,,5
4085,2024-06-23,5888,,1
8378,2024-06-23,5702,,5
3704,2024-06-23,1937,,1
2022,2024-06-23,9699,,1
6267,2024-06-23,1706,,1
9697,2024-06-23,9063,,1
2610,2024-06-23,7709,,3
9769,2024-06-23,4538,,1
4043,2024-06-23,4662,,1
6879,2024-06-23,6531,,1
1755,2024-06-23,6531,,1
5048,2024-06-23,11572,,1
2671,2024-06-23,11632,6310,1
7395,2024-06-23,10905,,5
3683,2024-06-23,282,,1
659,2024-06-23,10598,,3
9729,2024-06-23,3962,,3
910,2024-06-23,2966,,1
9464,2024-06-23,1019,,3
8703,2024-06-23,4536,,3
3363,2024-06-23,3073,,3
4316,2024-06-23,11029,,1
5290,2024-06-23,4121,,5
6593,2024-06-23,4925,,3
8085,2024-06-23,11605,,1
6912,2024-06-23,4704,,5
7606,2024-06-23,2500,,1
226,2024-06-23,8065,,5
4683,2024-06-23,3487,,1
622,2024-06-23,2442,,5
1859,2024-06-23,2820,,1
1952,2024-06-23,1937,,1
2567,2024-06-23,4691,,1
3726,2024-06-23,4121,,5
8851,2024-06-23,3359,,1
9890,2024-06-23,1415,,3
1523,2024-06-23,1706,,1
2455,2024-06-23,14,,1
2750,2024-06-23,1706,,1
3376,2024-06-23,3555,,5
3995,2024-06-23,2281,,3
1402,2024-06-23,4121,,5
4964,2024-06-23,7661,,3
2873,2024-06-23,9979,,1
6932,2024-06-23,2374,,3
5111,2024-06-23,3616,,3
2664,2024-06-23,2287,,1
3860,2024-06-23,5201,,1
5948,2024-06-23,8540,,3
4211,2024-06-23,1004,,1
7155,2024-06-23,1037,,5
4706,2024-06-23,7399,,1
5623,2024-06-23,7013,,5
465,2024-06-23,6091,,1
5357,2024-06-23,11501,,3
3590,2024-06-23,8135,,5
6112,2024-06-23,2102,,1
5205,2024-06-23,5528,,5
7641,2024-06-23,11381,,5
7948,2024-06-23,10743,,1
6042,2024-06-23,11614,,1
7597,2024-06-23,3359,,1
1186,2024-06-23,6091,,3
2245,2024-06-23,5541,,5
5905,2024-06-23,10617,,3
4279,2024-06-23,11782,,1
2459,2024-06-23,5207,,5
1644,2024-06-23,2347,,5
6973,2024-06-23,2010,,5
3290,2024-06-23,6289,,1
704,2024-06-23,4669,,1
5672,2024-06-23,4478,,3
2606,2024-06-23,6387,,1
5915,2024-06-23,8969,,3
2622,2024-06-23,11878,,3
3141,2024-06-23,5529,,3
4525,2024-06-23,8556,,1
5532,2024-06-23,8293,,3
4271,2024-06-23,6586,,5
2785,2024-06-23,7533,,1
6598,2024-06-23,8693,,1
3665,2024-06-23,2830,,1
935,2024-06-23,1677,,3
8864,2024-06-23,659,,1
1265,2024-06-23,2385,,3
9146,2024-06-23,2474,,1
405,2024-06-23,9579,,3
8905,2024-06-23,10747,,5
9873,2024-06-23,10883,,1
7252,2024-06-23,7416,,5
7418,2024-06-23,6387,,1
4605,2024-06-23,2962,,1
9248,2024-06-23,2197,,5
7971,2024-06-23,5125,,5
4943,2024-06-23,4447,,1
9375,2024-06-23,6387,,1
7246,2024-06-23,4683,,1
6965,2024-06-23,9155,,3
3827,2024-06-23,7448,,3
2363,2024-06-23,11877,,1
7471,2024-06-23,3397,,3
2781,2024-06-23,6770,,5
9667,2024-06-23,11760,,3
1805,2024-06-23,11221,,5
5923,2024-06-23,3679,,1
4148,2024-06-23,5841,,1
3575,2024-06-23,9289,,1
4834,2024-06-23,11331,,5
2202,2024-06-23,227,,5
3889,2024-06-23,6387,,1
3616,2024-06-23,3990,,3
4319,2024-06-23,1079,,1
1907,2024-06-23,1029,,5
1075,2024-06-23,4869,,3
9664,2024-06-23,8132,,3
840,2024-06-23,8260,,5
5289,2024-06-23,3171,,1
1058,2024-06-23,9651,,3
5174,2024-06-23,5072,,1
4467,2024-06-23,136,,3
5013,2024-06-23,932,,3
515,2024-06-23,9044,,1
3741,2024-06-23,7346,,5
4579,2024-06-23,1336,,1
3077,2024-06-23,4942,,5
2129,2024-06-23,5908,,1
7753,2024-06-23,10748,,5
5719,2024-06-23,5551,,1
4584,2024-06-23,5634,,3
4160,2024-06-23,1628,,1
3344,2024-06-23,890,,3
4533,2024-06-23,2133,,3
5193,2024-06-23,85,,5
2758,2024-06-23,8102,,3
8706,2024-06-23,4095,,5
6922,2024-06-23,4716,,1
9251,2024-06-23,4098,,5
1581,2024-06-23,7178,,1
9000,2024-06-23,1943,,3
4238,2024-06-23,6955,,5
3208,2024-06-24,4606,,5
5004,2024-06-24,1279,,1
1009,2024-06-24,716,,1
4666,2024-06-24,9233,,1
5148,2024-06-24,4614,,1
1101,2024-06-24,9753,,1
660,2024-06-24,4607,,1
6996,2024-06-24,9811,,5
5991,2024-06-24,9706,,1
5424,2024-06-24,5671,,1
7010,2024-06-24,6091,,1
6889,2024-06-24,10952,,1
4216,2024-06-24,8855,,1
4840,2024-06-24,3122,,1
7926,2024-06-24,9811,,5
9426,2024-06-24,9811,,4
8247,2024-06-24,8295,,1
3831,2024-06-24,2433,,1
9649,2024-06-24,7075,,1
3668,2024-06-24,3992,,1
4206,2024-06-24,7631,,1
7062,2024-06-24,10015,,5
6175,2024-06-24,6091,,1
6900,2024-06-24,1138,,1
6233,2024-06-24,5113,,1
1576,2024-06-24,3545,,5
9180,2024-06-24,3094,,1
8091,2024-06-24,4189,,5
6641,2024-06-24,1214,,1
6071,2024-06-24,10112,,5
8307,2024-06-24,9503,,3
7853,2024-06-24,972,,1
3100,2024-06-24,9811,,5
5493,2024-06-24,675,,1
2975,2024-06-24,7037,,1
9496,2024-06-24,2538,,1
8902,2024-06-24,8339,,2
2799,2024-06-24,10840,,1
4298,2024-06-24,8094,,1
8773,2024-06-24,10942,,1
2756,2024-06-24,2982,,1
8063,2024-06-24,5671,,5
6811,2024-06-24,2757,,1
5821,2024-06-24,9719,,1
2881,2024-06-24,11582,,1
5051,2024-06-24,5157,,1
8619,2024-06-24,5204,,1
3973,2024-06-24,9446,,3
9398,2024-06-24,11330,,1
5745,2024-06-24,5279,,1
2121,2024-06-24,9654,,1
2597,2024-06-24,4518,,1
9328,2024-06-24,5253,,1
6454,2024-06-24,11312,,1
2397,2024-06-24,9245,,1
3587,2024-06-24,831,,1
8900,2024-06-24,5118,,1
5446,2024-06-24,1288,,1
3288,2024-06-24,10575,,1
495,2024-06-24,11204,,1
2493,2024-06-24,171,,5
3835,2024-06-24,5226,,1
8423,2024-06-24,11479,,5
5500,2024-06-24,8596,,1
9866,2024-06-24,10412,,1
1307,2024-06-24,7332,,5
6443,2024-06-24,9635,,1
1997,2024-06-24,1967,,1
3025,2024-06-24,3438,,1
4670,2024-06-24,2757,,1
8316,2024-06-24,11584,,1
9404,2024-06-24,9968,,1
4053,2024-06-24,8295,,1
2655,2024-06-24,3177,,5
8083,2024-06-24,10895,,1
9219,2024-06-24,3326,,1
98,2024-06-24,5838,,1
144,2024-06-24,1359,,1
2636,2024-06-24,2320,,1
4901,2024-06-24,2525,,5
9623,2024-06-24,6287,,1
9485,2024-06-24,3598,,1
6674,2024-06-24,10773,,1
9630,2024-06-24,8228,,1
7232,2024-06-24,9764,,1
4608,2024-06-24,6070,,1
511,2024-06-24,518,,1
5937,2024-06-24,4134,,1
800,2024-06-24,9314,,1
3447,2024-06-24,6655,,5
9768,2024-06-24,4066,,1
2761,2024-06-24,8162,,1
1183,2024-06-24,11627,,1
4448,2024-06-24,673,,5
3396,2024-06-24,163,,1
9844,2024-06-24,1344,,1
7412,2024-06-24,6929,,1
6904,2024-06-24,6102,,5
6636,2024-06-24,8782,,1
8105,2024-06-24,840,,1
3422,2024-06-24,8709,,1
2182,2024-06-24,8414,,1
6309,2024-06-24,9140,,1
6488,2024-06-24,7090,,1
6048,2024-06-24,1448,,1
3273,2024-06-24,4187,,1
1719,2024-06-24,5965,,5
8719,2024-06-24,4155,,3
1753,2024-06-24,11774,,1
7466,2024-06-24,1092,,1
6934,2024-06-24,6801,,1
2486,2024-06-24,8647,,1
1002,2024-06-24,9896,,1
8193,2024-06-24,10961,,5
6800,2024-06-24,5246,,5
4471,2024-06-24,1803,,1
7524,2024-06-24,4909,,5
4899,2024-06-24,7114,,3
3548,2024-06-24,5066,,5
2556,2024-06-24,6797,,1
1626,2024-06-24,1474,,3
4841,2024-06-24,11114,,1
5331,2024-06-24,5521,10434,1
6039,2024-06-24,3052,,1
8661,2024-06-24,2364,,5
8207,2024-06-24,282,,1
6567,2024-06-24,6749,,5
8567,2024-06-24,9254,,1
4400,2024-06-24,7157,,1
8788,2024-06-24,587,,1
2682,2024-06-24,11454,,1
6392,2024-06-24,1179,,1
8365,2024-06-24,5374,,1
5167,2024-06-24,2410,,1
5558,2024-06-24,2701,,1
6693,2024-06-24,2972,,3
7207,2024-06-24,9274,,1
7072,2024-06-24,6054,,1
1934,2024-06-24,9807,,1
9438,2024-06-24,774,,1
7798,2024-06-24,2160,,1
4835,2024-06-24,7762,,1
7396,2024-06-24,349,,5
1469,2024-06-24,2066,,5
106,2024-06-24,3166,,1
2134,2024-06-24,904,,1
2279,2024-06-24,8644,,3
401,2024-06-24,6360,,1
1006,2024-06-24,7677,,5
9237,2024-06-24,5133,,5
3161,2024-06-24,5256,,1
9302,2024-06-24,212,,1
2619,2024-06-24,9446,,5
6109,2024-06-24,2040,,4
9303,2024-06-24,10091,,1
9513,2024-06-24,5134,,1
2090,2024-06-24,5519,,1
5993,2024-06-24,10849,,3
1833,2024-06-24,9328,,1
3428,2024-06-24,11681,,1
2716,2024-06-24,10576,,5
9233,2024-06-24,10759,,1
6820,2024-06-24,10380,,1
560,2024-06-24,1266,,5
3411,2024-06-24,8289,,1
9990,2024-06-24,731,,3
2628,2024-06-24,3612,,1
9360,2024-06-24,4744,,1
1558,2024-06-24,11220,,5
6927,2024-06-24,8097,,1
9709,2024-06-24,6787,,1
611,2024-06-24,7561,,1
2069,2024-06-24,2151,,1
2272,2024-06-24,1995,,1
8534,2024-06-24,998,,1
5078,2024-06-24,1836,,1
8914,2024-06-24,8031,,1
7190,2024-06-24,775,,1
9468,2024-06-24,10895,,3
8176,2024-06-24,3101,,1
8950,2024-06-24,10918,,5
6184,2024-06-24,10854,,2
1900,2024-06-24,4744,,1
733,2024-06-24,5256,,1
16,2024-06-24,4558,,5
2055,2024-06-24,1813,,5
2743,2024-06-24,9643,,5
6289,2024-06-24,7352,,1
8948,2024-06-24,9275,,5
9342,2024-06-24,11584,,1
4882,2024-06-24,8647,,1
4514,2024-06-24,7795,,1
8293,2024-06-24,1765,,5
9822,2024-06-24,2778,,1
818,2024-06-24,9092,,5
666,2024-06-24,5504,,1
6389,2024-06-24,314,,1
6518,2024-06-24,6732,,3
6136,2024-06-24,6574,,1
8025,2024-06-24,8633,,3
6801,2024-06-24,8196,,3
4330,2024-06-24,11074,,3
3847,2024-06-24,10623,,1
2828,2024-06-24,8548,,1
7479,2024-06-24,1250,,1
5893,2024-06-24,2048,,1
1246,2024-06-24,11403,,1
5772,2024-06-24,11309,,5
7995,2024-06-24,2266,,5
8656,2024-06-24,4765,,5
4688,2024-06-24,5134,,1
6458,2024-06-24,8886,,5
6602,2024-06-24,1229,,1
1098,2024-06-24,8093,,3
1085,2024-06-24,9640,,5
3499,2024-06-24,8647,,1
4204,2024-06-24,10508,,3
6956,2024-06-24,4558,,3
89,2024-06-24,3640,,1
7037,2024-06-24,443,,1
4624,2024-06-24,5743,,5
3853,2024-06-24,9275,,5
3442,2024-06-24,4125,,1
677,2024-06-24,3728,,5
2877,2024-06-24,993,,1
9880,2024-06-24,6576,,5
3406,2024-06-24,2687,,1
2662,2024-06-24,1229,,2
1023,2024-06-24,4425,10401,1
5499,2024-06-24,6631,,1
2978,2024-06-24,9670,,1
1605,2024-06-24,3193,,1
4818,2024-06-24,3644,,3
7424,2024-06-24,3728,,5
9232,2024-06-24,3775,,5
4332,2024-06-24,744,,1
3781,2024-06-24,7503,,1
9202,2024-06-24,1229,,1
8825,2024-06-24,8883,,1
8919,2024-06-24,4953,,1
1930,2024-06-24,6328,,3
1383,2024-06-24,998,,1
2060,2024-06-24,9194,1744,1
3204,2024-06-24,2230,,3
1700,2024-06-24,2435,,1
1175,2024-06-24,5691,,1
80,2024-06-24,4532,,1
8941,2024-06-24,10317,,1
6117,2024-06-24,10935,,1
9009,2024-06-24,4232,,1
4432,2024-06-24,10454,,1
729,2024-06-24,11234,6246,1
8294,2024-06-24,4988,,1
6677,2024-06-24,109,,3
5218,2024-06-24,8554,,1
614,2024-06-24,11096,,1
1453,2024-06-24,4603,,1
3777,2024-06-24,11061,,1
4392,2024-06-24,9400,,1
7765,2024-06-24,2227,,3
9029,2024-06-24,4255,,1
1642,2024-06-24,109,,1
3086,2024-06-24,5155,,1
7668,2024-06-24,10759,,1
8205,2024-06-24,1417,,3
87,2024-06-24,7635,,1
6118,2024-06-24,8094,,1
3736,2024-06-24,11798,,1
1629,2024-06-24,6757,,1
5520,2024-06-24,1267,,1
4785,2024-06-24,10412,,1
2329,2024-06-24,9155,,1
2585,2024-06-24,3510,,1
7571,2024-06-24,4055,,3
1059,2024-06-24,1404,,2
5355,2024-06-24,5155,,3
7673,2024-06-24,314,,1
8694,2024-06-24,3538,,1
8326,2024-06-24,6949,,1
5837,2024-06-24,100,,1
8261,2024-06-24,11059,,1
7021,2024-06-24,2535,,3
7476,2024-06-24,2430,,1
928,2024-06-24,9699,,1
4009,2024-06-24,5587,,2
2479,2024-06-24,3510,,5
1880,2024-06-24,2592,,1
5102,2024-06-24,3644,,5
9453,2024-06-24,5139,,1
2660,2024-06-24,630,,5
7850,2024-06-24,8587,,1
526,2024-06-24,5646,,1
2132,2024-06-24,7037,,1
2335,2024-06-24,2022,,3
3192,2024-06-24,3784,,3
6793,2024-06-24,627,,5
9764,2024-06-24,6211,,3
9738,2024-06-24,2196,,3
7548,2024-06-24,6025,,5
9086,2024-06-24,6210,,1
6691,2024-06-24,4571,10182,1
4399,2024-06-24,9178,,5
8524,2024-06-24,7986,,3
6452,2024-06-24,9028,,1
166,2024-06-24,1475,,3
8448,2024-06-24,2430,,5
6939,2024-06-24,1254,,5
6240,2024-06-24,2364,,1
8934,2024-06-24,429,,3
2470,2024-06-24,1816,,3
3858,2024-06-24,1007,,1
9281,2024-06-24,5994,,1
2848,2024-06-24,2230,,1
3159,2024-06-24,1633,,1
4909,2024-06-24,2526,,1
5677,2024-06-24,9898,,1
9977,2024-06-24,1934,,5
2739,2024-06-24,3767,,5
1929,2024-06-24,10918,,1
1161,2024-06-24,1015,,1
7467,2024-06-24,10808,,3
84,2024-06-24,1080,,1
8087,2024-06-24,9521,,3
9516,2024-06-24,4941,,1
4289,2024-06-24,6738,,3
1285,2024-06-24,2230,,1
2343,2024-06-24,1015,,1
5970,2024-06-24,11479,,5
5396,2024-06-24,11410,,1
6952,2024-06-24,8780,,1
3798,2024-06-24,4694,,1
2632,2024-06-24,3394,,5
6272,2024-06-24,9521,,5
8516,2024-06-24,740,,1
5219,2024-06-24,196,,1
5755,2024-06-24,1627,,1
841,2024-06-24,5900,,1
8618,2024-06-24,6625,,1
1945,2024-06-24,11325,,1
9862,2024-06-24,7936,,1
1108,2024-06-24,6571,,1
7799,2024-06-24,3681,,1
4715,2024-06-24,10431,,1
8877,2024-06-24,5672,,1
9520,2024-06-24,5279,,1
3807,2024-06-24,7949,,1
8768,2024-06-24,9220,,1
6639,2024-06-24,10088,,1
2955,2024-06-24,5404,,1
6213,2024-06-24,234,,1
2504,2024-06-24,2594,,5
4891,2024-06-24,5148,,3
5785,2024-06-24,3002,,3
3436,2024-06-24,630,,1
9799,2024-06-24,1303,,5
4018,2024-06-24,2117,,5
9946,2024-06-24,10701,8993,1
5435,2024-06-24,10108,,1
8712,2024-06-24,9045,,1
2874,2024-06-24,4850,,3
2120,2024-06-24,9876,,1
2496,2024-06-24,1261,,1
4806,2024-06-24,5181,4441,3
3393,2024-06-24,4344,,5
7462,2024-06-24,6676,,3
6565,2024-06-24,11033,,5
5356,2024-06-24,5674,,1
7310,2024-06-24,10995,,1
8989,2024-06-24,8281,,1
2833,2024-06-24,9824,,1
4609,2024-06-24,6528,,1
5564,2024-06-24,1277,,1
1652,2024-06-24,10643,,5
5477,2024-06-24,1058,,1
1570,2024-06-24,9521,,3
7198,2024-06-24,5977,,5
880,2024-06-24,186,,1
3599,2024-06-24,10626,,3
6963,2024-06-24,4215,,3
5552,2024-06-24,3976,,1
1004,2024-06-24,10015,,1
3640,2024-06-24,6383,,1
3351,2024-06-24,1362,,1
1047,2024-06-24,3169,,1
6287,2024-06-24,8057,,3
7375,2024-06-24,8807,,1
7556,2024-06-24,1088,,2
7234,2024-06-24,1421,,3
335,2024-06-24,4123,,1
234,2024-06-24,5488,,1
7754,2024-06-24,235,,3
1583,2024-06-24,4859,,1
4842,2024-06-24,9274,,1
2914,2024-06-24,9663,,5
7170,2024-06-24,10270,,3
21,2024-06-24,7601,,1
3320,2024-06-24,8328,,1
9773,2024-06-24,11479,,5
1733,2024-06-24,8922,,1
2690,2024-06-24,4147,,1
6902,2024-06-24,776,,3
9551,2024-06-24,1816,,5
4817,2024-06-24,11059,,5
9274,2024-06-24,196,,1
8848,2024-06-24,8062,,1
3465,2024-06-24,1261,,1
7288,2024-06-24,10193,,3
184,2024-06-24,8126,,1
320,2024-06-24,8277,,5
9507,2024-06-24,9429,,3
2589,2024-06-24,9876,,1
956,2024-06-24,4624,,1
7459,2024-06-24,11062,,1
5046,2024-06-24,5345,,5
5199,2024-06-24,1129,,3
7223,2024-06-24,2628,,1
7031,2024-06-24,1598,,1
4968,2024-06-24,11877,,1
